adresse;lat;lon
Rue Saint-Denis, rue de Rivoli;48.85875016;2.34750188
Rue Montmartre, rue de Turbigo;48.8632432;2.3461244
Rue Montorgueil, rue de Turbigo;48.8632732;2.3462907
Quai François Mitterrand, rue de l'Amiral de Coligny;48.8589898;2.339848
Boulevard des Capucines, rue Scribe;48.8702501;2.329943
Rue de la Lune, rue Notre-Dame de Bonne Nouvelle;48.8697696;2.349715
Rue des Francs Bourgeois, rue Vieille du Temple;48.8586836;2.3587623
Rue de Sully, boulevard Henri IV;48.851188;2.3626942
Place Alphonse Laveran, rue Saint-Jacques;48.840843154665;2.34098007029582
Rue du Fouarre, rue Lagrange;48.8517007;2.3477327
Rue Saint-Jacques, rue Soufflot;48.846796;2.3433551
Rue Poliveau, rue Geoffroy Saint-Hilaire;48.8397034;2.356594
Rue Pierre Nicole, rue du Val de Grâce;48.8411817;2.339799
Rue de Grenelle, rue des Saints-Pères;48.8527255;2.3293938
Place de la Concorde, avenue Gabriel;48.8670939;2.3206535
Rue du Faubourg Saint-Honoré, avenue Matignon;48.8717648;2.3141793
Avenue George V, rue François 1er;48.8700562;2.3009879
Avenue Montaigne, rue du Boccador;48.8658456;2.30400703333333
Rue La Bruyère, rue Notre-Dame de Lorette;48.8788344;2.3370284
Boulevard de la Chapelle, rue Guy Patin;48.8837384;2.3512804
Rue de Paradis, rue Martel;48.8747743;2.3534685
Rue Saint-Maur, rue du Buisson Saint-Louis;48.8717838;2.3719804
Boulevard de la Bastille, rue Jules César;48.84878345;2.3679398
Avenue Gambetta, boulevard Mortier, rue de Belleville;48.8770052;2.4066398
Place Jules Joffrin, rue Hermel;48.8926182;2.3451015
Rue Pierre Fontaine, rue Jean-Baptiste Pigalle;48.8804359;2.3350485
Rue du Faubourg Saint-Martin, rue La Fayette;48.8816108;2.3657877
Rue Rambuteau, rue Beaubourg;48.861238125;2.35345275
Rue Rambuteau, boulevard de Sébastopol;48.8619936571429;2.3501341
Place de Colombie, boulevard Suchet, boulevard Lannes, Porte de la Muette;48.862590175;2.268078425
Rue Villiot, rue de Bercy;48.8421014;2.3764201
Rue Jacques Hillairet, rue Albinoni;48.8429924;2.3883015
Boulevard de Strasbourg, rue Saint-Laurent;48.8754828;2.35773035
Rue Blainville, place de la Contrescarpe;48.8445074;2.3492551
Boulevard Saint-Germain, boulevard Raspail;48.8562032666667;2.32567686666667
Rue des Frères d'Astier de la Vigerie, rue Simone Weil;48.8241148;2.3634942
Rue Louis Lumière, rue Louis Ganne;48.8635232;2.4107318
Place de la Bataille de Stalingrad, rue du Faubourg Saint-Martin;48.8838514;2.3685981
Rue Archereau, rue de Crimée;48.8921563;2.3750776
Boulevard Raspail, rue de Rennes;48.8479939;2.3278513
Rue du Château des Rentiers, rue Ricaut;48.830247;2.3622164
Boulevard Masséna, avenue de la Porte de Vitry;48.8240531;2.3770382
Rue Bourgon, rue du Moulin de la Pointe;48.8229657;2.3565767
Rue de Tolbiac, rue Bobillot;48.8258123;2.3503781
Rue de la Glacière, boulevard Arago;48.8349543;2.3449903
