VMA;lat;lon
130;49.95842;2.85479
70;48.67029;2.27976
110;48.63212;2.4065
110;48.83313;2.08501
130;46.55504;0.28379
70;48.57066;7.73904
110;49.27277;6.17428
90;49.12731;6.1618
70;47.48393;-0.54887
70;48.88743;2.2516
90;48.70775;2.19009
50;48.8869;2.24157
70;48.822;2.37965
70;48.82352;2.31005
70;46.62896;0.35564
80;43.5135;-1.46733
90;49.17486;-0.31164
90;48.7741;2.40784
70;48.89645;2.30974
90;43.38001;5.35354
70;46.31121;4.83825
70;48.89004;2.39613
90;48.8167;2.44854
50;45.77449;4.8151
70;45.76357;4.80266
70;45.4932;6.51932
110;48.10572;-1.50378
110;49.92349;2.32861
70;44.88349;-0.55534
90;43.73442;7.25137
90;48.92981;2.36345
130;48.49267;7.55745
50;43.61005;1.41945
70;46.05159;6.08709
70;43.3278;5.37814
90;43.34427;5.34679
70;48.15247;2.76366
70;49.45188;1.14532
90;43.94884;4.84067
90;43.94887;4.84069
90;45.65505;5.11342
90;45.48273;4.8323
90;49.04783;2.33193
90;48.93387;2.56774
70;49.24496;3.03571
50;46.17012;3.45748
50;45.05807;4.84064
70;44.52474;2.3331
50;45.81743;0.06857
50;47.33701;5.03369
80;45.22916;0.67979
50;44.70534;4.80003
50;44.50246;0.16753
110;48.97724;2.23349
90;46.57785;5.44001
80;45.6354;-0.97539
80;46.78682;1.68372
90;46.92244;1.29655
90;48.54187;-0.49413
50;43.25688;0.07205
80;44.03106;1.23141
70;47.89996;6.72747
80;47.87434;6.83843
80;49.10263;-1.48766
80;49.64416;-1.47515
50;48.2968;-0.91783
50;48.06907;-0.75272
90;48.07663;-0.97332
90;47.96125;-0.70397
90;48.63827;7.72804
50;48.1714;7.10899
50;48.06842;7.32789
80;46.73646;4.91729
80;46.78485;4.89023
90;49.25473;4.0023
90;47.99672;0.17226
80;43.88555;5.86389
110;44.19723;5.94926
50;47.10975;2.414
50;47.49813;6.80645
90;44.93748;2.32582
50;48.10527;5.14233
50;50.30553;3.97725
90;45.82851;1.28269
50;45.82164;1.24382
70;46.1243;3.93317
90;45.8664;2.17039
50;47.87992;6.39495
50;45.82512;1.2882
80;42.48027;9.48094
70;48.78988;2.45083
90;48.81849;2.45689
50;50.01772;4.72573
90;43.57446;1.44788
70;49.18944;-0.33271
70;48.90645;2.29052
50;48.93971;2.38791
90;45.60167;3.21671
90;44.92671;6.60141
80;48.47484;1.18267
90;48.24599;1.21133
70;43.11342;6.12006
50;47.89776;1.89552
70;48.71969;2.37065
70;50.6219;3.0216
130;44.6051;4.79397
70;49.75073;1.42664
70;45.73516;-0.75166
80;46.82249;-1.9746
80;46.82356;-1.77653
80;46.47743;-1.6724
90;47.14024;1.57533
90;48.81643;0.31502
80;45.00616;2.6541
80;47.63893;3.49286
70;47.26192;-1.49589
90;47.14772;4.48915
90;48.37594;0.88783
30;46.59743;0.33714
80;48.02236;-2.96193
50;45.75192;4.83294
70;43.92146;2.21311
50;42.68238;9.44668
110;47.87007;-3.59531
90;47.78566;1.31281
70;47.67022;0.97073
110;49.3172;6.08166
110;49.15;6.18399
80;46.32624;6.3561
90;16.25425;-61.56169
90;48.829;2.47952
90;48.93396;2.24145
70;43.28424;5.40459
90;43.88208;2.17063
80;48.24129;7.47378
50;48.76746;5.15287
80;44.48061;1.41351
80;44.9023;1.85292
70;45.55669;-0.55508
70;42.56163;8.80249
90;48.37632;-4.27611
70;47.00845;4.32084
80;46.24247;-0.52535
70;47.72206;6.83214
70;49.4454;1.2005
70;47.53431;1.41633
90;49.23461;4.03943
